Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-05-28,Basic Instinct,1992,https://boxd.it/4izdOx,3,,,2023-05-27
2023-06-03,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/4k59C1,4.5,,,2023-06-02
2023-06-05,WALL·E,2008,https://boxd.it/4kGNOP,5,,,2023-06-04
2023-06-06,Oldboy,2003,https://boxd.it/4l0wHd,4,,,2023-06-05
2023-06-07,The Shack,2017,https://boxd.it/4lhlKJ,2.5,,,2023-06-06
2023-06-10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4m2gYP,3.5,Yes,,2023-06-09
2023-06-17,The Place Beyond the Pines,2012,https://boxd.it/4nULev,4,,,2023-06-16
2023-06-18,La La Land,2016,https://boxd.it/4odgOF,5,Yes,,2023-06-17
2023-06-20,Marriage Story,2019,https://boxd.it/4oRmsl,3.5,,,2023-06-19
2023-06-22,Silence,2016,https://boxd.it/4pph8X,3.5,,,2023-06-21
2023-06-24,Titanic,1997,https://boxd.it/4pWQiT,5,,,2023-06-23
2023-06-27,Black Mirror: Joan Is Awful,2023,https://boxd.it/4qQD6R,2,,,2023-06-26
2023-07-06,Black Mirror: Loch Henry,2023,https://boxd.it/4tuhWJ,3,,,2023-06-28
2023-06-30,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4rCs4V,4.5,,,2023-06-29
2023-07-02,Holes,2003,https://boxd.it/4sgcf9,2.5,Yes,,2023-07-01
2023-07-07,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/4tLdHT,3,,,2023-07-06
2023-07-11,CODA,2021,https://boxd.it/4uZWUv,5,Yes,,2023-07-10
2023-07-20,Barbie,2023,https://boxd.it/4xLmoR,5,,,2023-07-19
2023-07-21,Mission: Impossible II,2000,https://boxd.it/4y46dL,2,,,2023-07-20
2023-07-23,Mission: Impossible III,2006,https://boxd.it/4yNQWR,3,Yes,,2023-07-22
2023-07-24,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/4zwBZB,4,Yes,,2023-07-23
2023-07-25,Mission: Impossible – Rogue Nation,2015,https://boxd.it/4zNK9D,3.5,,,2023-07-24
2023-07-25,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4zVeVr,2,,,2023-07-24
2023-07-26,Oppenheimer,2023,https://boxd.it/4AlXqP,2.5,,,2023-07-25
2023-07-27,Mission: Impossible – Fallout,2018,https://boxd.it/4AIJrv,3.5,Yes,,2023-07-26
2023-07-28,Mission: Impossible – Dead Reckoning Part One,2023,https://boxd.it/4B5jgR,3,,,2023-07-27
2023-08-08,Women Talking,2022,https://boxd.it/4F0qD5,3,,,2023-08-07
2023-08-17,All Too Well: The Short Film,2021,https://boxd.it/4HVQLh,5,,,2023-08-16
